,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
55,ADAUSDT,ARKUSDT,0.01,-3.82,-3.37,7.64,24
162,AXSUSDT,DYDXUSDT,0.0,-5.3,-3.37,3.04,21
221,C98USDT,TOMIUSDT,0.0,-6.49,-3.37,1.58,20
809,ZENUSDT,CELOUSDT,0.02,-3.59,-3.37,23.11,20
171,BEAMUSDT,GODSUSDT,0.0,-6.01,-3.37,0.02,19
699,STPTUSDT,AERGOUSDT,0.03,-3.53,-3.37,0.37,18
643,PYTHUSDT,ROSEUSDT,0.0,-4.68,-3.37,0.91,18
711,THETAUSDT,AERGOUSDT,0.04,-3.44,-3.37,42.47,17
149,AVAXUSDT,ASTRUSDT,0.01,-3.88,-3.37,232.39,16
562,KNCUSDT,EDUUSDT,0.02,-3.64,-3.37,1.32,15
88,ALICEUSDT,TWTUSDT,0.01,-4.0,-3.37,5.52,15
735,WAVESUSDT,DYDXUSDT,0.04,-3.44,-3.37,0.62,15
802,ZECUSDT,CTSIUSDT,0.04,-3.42,-3.37,600.27,15
412,FILUSDT,MATICUSDT,0.0,-4.87,-3.37,37.4,14
163,AXSUSDT,GMXUSDT,0.02,-3.71,-3.37,1.8,14
354,DOTUSDT,OCEANUSDT,0.04,-3.47,-3.37,77.35,14
796,YFIIUSDT,ARBUSDT,0.03,-3.52,-3.37,351.37,14
493,GRTUSDT,CELRUSDT,0.0,-4.93,-3.37,4.92,14
471,GFTUSDT,OPUSDT,0.01,-3.78,-3.37,0.09,13
172,BEAMUSDT,XLMUSDT,0.02,-3.69,-3.37,0.02,13
603,NMRUSDT,ARKMUSDT,0.04,-3.4,-3.37,27.65,13
10,1INCHUSDT,AGLDUSDT,0.01,-4.05,-3.37,2.54,13
787,XNOUSDT,BATUSDT,0.0,-4.58,-3.37,2.06,13
518,IDUSDT,GMXUSDT,0.02,-3.76,-3.37,0.01,13
662,RNDRUSDT,LOOKSUSDT,0.0,-4.53,-3.37,1.16,13
583,MDTUSDT,CROUSDT,0.01,-3.95,-3.37,0.07,12
150,AVAXUSDT,BAKEUSDT,0.02,-3.6,-3.37,52.32,12
265,CHZUSDT,HFTUSDT,0.01,-4.06,-3.37,0.45,12
582,MDTUSDT,COTIUSDT,0.0,-6.97,-3.37,0.15,12
632,ORDIUSDT,ALPHAUSDT,0.0,-4.79,-3.37,26.71,12
405,FETUSDT,METISUSDT,0.0,-4.43,-3.37,0.01,12
614,OCEANUSDT,BEAMUSDT,0.02,-3.75,-3.37,54.82,11
605,NTRNUSDT,1INCHUSDT,0.04,-3.39,-3.37,0.12,11
136,ASTRUSDT,TOKENUSDT,0.0,-4.98,-3.37,7.34,11
125,ARKMUSDT,INJUSDT,0.03,-3.53,-3.37,0.28,11
468,GFTUSDT,JOEUSDT,0.03,-3.48,-3.37,0.19,11
780,XEMUSDT,MATICUSDT,0.0,-5.69,-3.37,0.11,11
262,CHZUSDT,BTCUSDT,0.03,-3.58,-3.37,0.0,11
803,ZECUSDT,LQTYUSDT,0.01,-3.97,-3.37,90.49,11
81,ALGOUSDT,GODSUSDT,0.0,-5.48,-3.37,5.27,11
723,VGXUSDT,AERGOUSDT,0.0,-5.69,-3.37,0.94,11
678,STEEMUSDT,ATOMUSDT,0.01,-4.03,-3.37,0.02,11
5,1CATUSDT,METISUSDT,0.03,-3.49,-3.37,0.0,11
138,ATAUSDT,XVSUSDT,0.04,-3.4,-3.37,0.02,10
786,XMRUSDT,COMPUSDT,0.03,-3.58,-3.37,0.45,10
701,STPTUSDT,ALPACAUSDT,0.0,-4.62,-3.37,0.39,10
702,STPTUSDT,ARBUSDT,0.01,-3.83,-3.37,0.05,10
390,ENSUSDT,STGUSDT,0.01,-3.9,-3.37,69.79,10
648,QIUSDT,CROUSDT,0.04,-3.45,-3.37,0.03,10
120,ARBUSDT,BNTUSDT,0.01,-4.01,-3.37,2.37,10
526,IOTAUSDT,GODSUSDT,0.04,-3.45,-3.37,3.86,9
404,FETUSDT,MEMEUSDT,0.01,-4.0,-3.37,20.82,9
127,ARKMUSDT,YFIUSDT,0.03,-3.54,-3.37,0.0,9
410,FILUSDT,ICXUSDT,0.03,-3.48,-3.37,72.69,9
91,ALPHAUSDT,API3USDT,0.04,-3.39,-3.37,0.08,9
19,1INCHUSDT,CVXUSDT,0.0,-4.15,-3.37,0.1,9
343,DOGEUSDT,OCEANUSDT,0.01,-4.02,-3.37,0.2,9
424,FXSUSDT,ENSUSDT,0.03,-3.47,-3.37,0.6,9
432,FXSUSDT,SILLYUSDT,0.0,-4.18,-3.37,250.0,9
672,SFPUSDT,LSKUSDT,0.0,-4.12,-3.37,1.78,9
817,ZILUSDT,AGLDUSDT,0.04,-3.44,-3.37,0.04,9
626,OPUSDT,AMBUSDT,0.03,-3.49,-3.37,138.39,9
797,YFIIUSDT,CELOUSDT,0.0,-4.3,-3.37,94.64,9
121,ARBUSDT,CYBERUSDT,0.04,-3.44,-3.37,0.3,8
105,ANKRUSDT,FUNUSDT,0.02,-3.76,-3.37,19.12,8
104,AMBUSDT,ORDIUSDT,0.02,-3.66,-3.37,0.0,8
344,DOGEUSDT,PENDLEUSDT,0.01,-3.98,-3.37,0.11,8
160,AXLUSDT,ZILUSDT,0.04,-3.45,-3.37,17.16,8
87,ALICEUSDT,JOEUSDT,0.02,-3.66,-3.37,19.95,8
123,ARKMUSDT,BTCUSDT,0.01,-3.93,-3.37,0.0,8
738,WAVESUSDT,KASUSDT,0.0,-4.21,-3.37,303.05,8
673,SFPUSDT,MASKUSDT,0.04,-3.38,-3.37,0.18,8
561,KNCUSDT,AGLDUSDT,0.04,-3.41,-3.37,1.36,8
768,XCNUSDT,ADAUSDT,0.01,-4.01,-3.37,0.0,8
477,GLMRUSDT,AKROUSDT,0.02,-3.7,-3.37,924.15,8
536,JSTUSDT,NMRUSDT,0.02,-3.76,-3.37,0.0,8
403,FETUSDT,MANAUSDT,0.0,-4.31,-3.37,0.16,8
652,RENUSDT,DGBUSDT,0.0,-4.89,-3.37,29.25,7
420,FTMUSDT,AGIUSDT,0.03,-3.56,-3.37,44.47,7
634,PEOPLEUSDT,ALICEUSDT,0.03,-3.49,-3.37,0.01,7
64,AGIXUSDT,CELRUSDT,0.02,-3.73,-3.37,3.06,7
514,ICXUSDT,ADAUSDT,0.05,-3.37,-3.37,0.36,7
100,AMBUSDT,BIGTIMEUSDT,0.04,-3.43,-3.37,0.04,7
144,AUCTIONUSDT,LSKUSDT,0.04,-3.47,-3.37,5.2,7
180,BLURUSDT,GPTUSDT,0.03,-3.47,-3.37,10.35,7
542,JSTUSDT,TRUUSDT,0.01,-4.08,-3.37,0.45,7
350,DOTUSDT,GODSUSDT,0.0,-4.48,-3.37,99.98,7
276,CKBUSDT,ORDIUSDT,0.0,-4.6,-3.37,0.0,7
258,CELOUSDT,AUCTIONUSDT,0.03,-3.5,-3.37,0.73,7
247,CAKEUSDT,OPUSDT,0.02,-3.66,-3.37,1.66,7
31,1INCHUSDT,ONGUSDT,0.04,-3.39,-3.37,6.62,7
53,ACEUSDT,WLDUSDT,0.01,-3.88,-3.37,6.36,7
34,1INCHUSDT,RAREUSDT,0.01,-3.84,-3.37,20.95,7
756,WAXPUSDT,SOLUSDT,0.04,-3.4,-3.37,0.0,7
472,GFTUSDT,OXTUSDT,0.0,-6.87,-3.37,1.59,7
795,YFIIUSDT,AERGOUSDT,0.01,-3.87,-3.37,2672.68,7
524,IMXUSDT,DYDXUSDT,0.01,-3.84,-3.37,0.36,7
266,CHZUSDT,JOEUSDT,0.0,-5.88,-3.37,0.54,7
659,REQUSDT,MULTIUSDT,0.0,-4.15,-3.37,0.18,7
1,1CATUSDT,AGLDUSDT,0.04,-3.46,-3.37,0.01,7
313,CTKUSDT,RPLUSDT,0.02,-3.71,-3.37,0.04,7
211,BONDUSDT,SUPERUSDT,0.02,-3.59,-3.37,10.81,7
124,ARKMUSDT,GODSUSDT,0.0,-4.2,-3.37,1.43,6
157,AXLUSDT,PHBUSDT,0.03,-3.5,-3.37,1.02,6
617,OCEANUSDT,BOBAUSDT,0.04,-3.46,-3.37,0.3,6
762,WSMUSDT,ORDIUSDT,0.01,-3.86,-3.37,0.0,6
255,CELOUSDT,AERGOUSDT,0.01,-3.96,-3.37,28.24,6
604,NMRUSDT,CROUSDT,0.04,-3.39,-3.37,18.11,6
601,MYRIAUSDT,LSKUSDT,0.03,-3.53,-3.37,0.01,6
227,CAKEUSDT,APTUSDT,0.03,-3.48,-3.37,0.24,6
640,PEOPLEUSDT,CELRUSDT,0.01,-3.78,-3.37,0.87,6
234,CAKEUSDT,FLMUSDT,0.03,-3.53,-3.37,12.51,6
43,1INCHUSDT,UMAUSDT,0.0,-4.65,-3.37,1.73,6
805,ZECUSDT,LSKUSDT,0.02,-3.7,-3.37,195.7,6
670,SEIUSDT,COREUSDT,0.0,-4.39,-3.37,0.05,6
217,BSVUSDT,KLAYUSDT,0.02,-3.71,-3.37,99.25,6
51,AAVEUSDT,TONUSDT,0.0,-11.94,-3.37,258.15,6
216,BSVUSDT,ICPUSDT,0.0,-4.44,-3.37,2.22,6
290,CTKUSDT,CROUSDT,0.02,-3.6,-3.37,2.2,6
304,CTKUSDT,METISUSDT,0.0,-4.11,-3.37,0.02,6
61,AGIUSDT,GODSUSDT,0.01,-3.82,-3.37,0.08,6
571,LITUSDT,AKROUSDT,0.01,-3.86,-3.37,980.36,6
715,TRXUSDT,BATUSDT,0.01,-3.87,-3.37,0.08,6
421,FTMUSDT,BAKEUSDT,0.0,-4.45,-3.37,1.12,6
478,GMTUSDT,ARKMUSDT,0.04,-3.41,-3.37,1.47,6
340,DOGEUSDT,MASKUSDT,0.04,-3.4,-3.37,0.01,6
650,QIUSDT,GODSUSDT,0.02,-3.61,-3.37,0.07,6
465,GFTUSDT,GODSUSDT,0.0,-4.84,-3.37,0.32,6
42,1INCHUSDT,TOMIUSDT,0.02,-3.65,-3.37,1.12,6
327,DATAUSDT,PEOPLEUSDT,0.02,-3.66,-3.37,0.62,5
269,CHZUSDT,PROMUSDT,0.01,-3.94,-3.37,0.08,5
245,CAKEUSDT,NFPUSDT,0.04,-3.39,-3.37,2.1,5
627,OPUSDT,BLURUSDT,0.01,-3.82,-3.37,1.15,5
341,DOGEUSDT,MNTUSDT,0.01,-3.77,-3.37,0.23,5
666,ROSEUSDT,BEAMUSDT,0.04,-3.41,-3.37,58.17,5
665,ROSEUSDT,APTUSDT,0.04,-3.42,-3.37,0.06,5
335,DOGEUSDT,CKBUSDT,0.04,-3.47,-3.37,6.66,5
330,DOGEUSDT,ALGOUSDT,0.01,-3.8,-3.37,0.05,5
282,CTKUSDT,ARUSDT,0.02,-3.69,-3.37,0.03,5
285,CTKUSDT,AXLUSDT,0.0,-4.21,-3.37,2.08,5
236,CAKEUSDT,GLMRUSDT,0.02,-3.75,-3.37,0.49,5
329,DODOUSDT,LOOKSUSDT,0.01,-3.93,-3.37,0.09,5
256,CELOUSDT,AGLDUSDT,0.02,-3.62,-3.37,4.51,5
663,ROSEUSDT,AGIUSDT,0.03,-3.48,-3.37,17.38,5
357,DYDXUSDT,AERGOUSDT,0.0,-5.06,-3.37,134.05,5
267,CHZUSDT,MNTUSDT,0.05,-3.37,-3.37,0.81,5
658,REQUSDT,LRCUSDT,0.05,-3.37,-3.37,0.17,5
237,CAKEUSDT,GPTUSDT,0.01,-4.05,-3.37,19.76,5
254,CELOUSDT,AAVEUSDT,0.04,-3.45,-3.37,0.01,5
657,REQUSDT,LOOKSUSDT,0.03,-3.52,-3.37,0.12,5
130,ARPAUSDT,ACHUSDT,0.02,-3.69,-3.37,1.82,5
13,1INCHUSDT,BCHUSDT,0.0,-4.2,-3.37,0.01,5
470,GFTUSDT,MATICUSDT,0.0,-5.17,-3.37,0.08,5
85,ALICEUSDT,DENTUSDT,0.0,-4.54,-3.37,3286.21,5
521,IDUSDT,XVSUSDT,0.01,-3.83,-3.37,0.11,5
474,GFTUSDT,TONUSDT,0.0,-8.63,-3.37,0.06,5
520,IDUSDT,WLDUSDT,0.0,-4.4,-3.37,0.21,5
109,ANTUSDT,JASMYUSDT,0.03,-3.58,-3.37,135.91,5
752,WAXPUSDT,MEMEUSDT,0.03,-3.57,-3.37,2.32,5
779,XEMUSDT,KSMUSDT,0.02,-3.72,-3.37,0.0,5
808,ZENUSDT,AGLDUSDT,0.01,-3.85,-3.37,104.2,5
118,APTUSDT,ORDIUSDT,0.0,-4.53,-3.37,0.62,5
66,AGIXUSDT,HFTUSDT,0.02,-3.66,-3.37,0.59,5
430,FXSUSDT,RADUSDT,0.02,-3.6,-3.37,19.48,5
804,ZECUSDT,LRCUSDT,0.01,-3.94,-3.37,83.9,5
748,WAXPUSDT,COREUSDT,0.0,-4.45,-3.37,0.02,5
47,AAVEUSDT,GODSUSDT,0.0,-5.15,-3.37,1327.08,5
798,YFIIUSDT,COTIUSDT,0.01,-4.1,-3.37,1273.11,5
729,VRAUSDT,LSKUSDT,0.04,-3.44,-3.37,0.0,4
498,GRTUSDT,JOEUSDT,0.03,-3.56,-3.37,1.13,4
452,GALAUSDT,JOEUSDT,0.01,-3.8,-3.37,0.15,4
455,GALAUSDT,PAXGUSDT,0.01,-3.98,-3.37,0.0,4
334,DOGEUSDT,BOBAUSDT,0.02,-3.61,-3.37,0.06,4
473,GFTUSDT,SILLYUSDT,0.01,-3.97,-3.37,0.89,4
337,DOGEUSDT,EOSUSDT,0.02,-3.65,-3.37,0.02,4
519,IDUSDT,PAXGUSDT,0.04,-3.43,-3.37,0.02,4
71,AGIXUSDT,RPLUSDT,0.01,-3.86,-3.37,0.01,4
314,CTKUSDT,SEIUSDT,0.0,-5.33,-3.37,10.23,4
312,CTKUSDT,RIFUSDT,0.01,-4.0,-3.37,14.18,4
37,1INCHUSDT,RPLUSDT,0.01,-3.96,-3.37,0.07,4
302,CTKUSDT,MDTUSDT,0.0,-4.71,-3.37,31.36,4
184,BLURUSDT,MTLUSDT,0.0,-4.17,-3.37,0.43,4
301,CTKUSDT,MAGICUSDT,0.01,-3.82,-3.37,2.63,4
749,WAXPUSDT,HIGHUSDT,0.04,-3.46,-3.37,0.01,4
250,CAKEUSDT,SOLUSDT,0.02,-3.63,-3.37,0.01,4
539,JSTUSDT,SNTUSDT,0.0,-4.49,-3.37,0.92,4
528,JOEUSDT,AERGOUSDT,0.03,-3.52,-3.37,3.52,4
613,OCEANUSDT,BCHUSDT,0.02,-3.61,-3.37,0.0,4
751,WAXPUSDT,JTOUSDT,0.04,-3.41,-3.37,0.02,4
251,CAKEUSDT,STORJUSDT,0.02,-3.67,-3.37,1.08,4
740,WAVESUSDT,ONGUSDT,0.03,-3.5,-3.37,34.69,4
636,PEOPLEUSDT,ASTRUSDT,0.01,-3.87,-3.37,0.48,4
538,JSTUSDT,RPLUSDT,0.01,-3.91,-3.37,0.0,4
140,ATOMUSDT,LINKUSDT,0.02,-3.65,-3.37,1.0,4
14,1INCHUSDT,BELUSDT,0.04,-3.42,-3.37,3.16,4
6,1CATUSDT,SILLYUSDT,0.03,-3.53,-3.37,0.08,4
541,JSTUSDT,STPTUSDT,0.0,-5.03,-3.37,0.75,4
153,AVAXUSDT,GODSUSDT,0.02,-3.69,-3.37,162.86,4
592,MOVRUSDT,ATOMUSDT,0.02,-3.75,-3.37,0.61,4
563,LDOUSDT,AERGOUSDT,0.02,-3.68,-3.37,9.48,3
500,GRTUSDT,LRCUSDT,0.03,-3.49,-3.37,0.23,3
503,HBARUSDT,COMPUSDT,0.04,-3.4,-3.37,0.0,3
299,CTKUSDT,LQTYUSDT,0.02,-3.6,-3.37,0.62,3
300,CTKUSDT,LSKUSDT,0.04,-3.41,-3.37,1.35,3
510,HNTUSDT,FLMUSDT,0.03,-3.49,-3.37,160.19,3
559,KDAUSDT,LRCUSDT,0.01,-3.98,-3.37,2.1,3
676,SNTUSDT,ADAUSDT,0.01,-3.87,-3.37,0.02,3
555,KAVAUSDT,ORDIUSDT,0.0,-5.26,-3.37,0.37,3
556,KDAUSDT,ARPAUSDT,0.02,-3.66,-3.37,90.44,3
534,JSTUSDT,KEYUSDT,0.02,-3.6,-3.37,5.78,3
288,CTKUSDT,BNTUSDT,0.03,-3.48,-3.37,3.12,3
533,JSTUSDT,IOTXUSDT,0.04,-3.43,-3.37,0.23,3
675,SLPUSDT,ALPACAUSDT,0.05,-3.38,-3.37,0.41,3
283,CTKUSDT,ASTRUSDT,0.04,-3.39,-3.37,6.81,3
271,CHZUSDT,XCNUSDT,0.04,-3.4,-3.37,305.6,3
551,KAVAUSDT,MATICUSDT,0.02,-3.65,-3.37,3.4,3
523,IMXUSDT,COREUSDT,0.04,-3.45,-3.37,2.48,3
530,JSTUSDT,ARKUSDT,0.02,-3.67,-3.37,0.16,3
529,JOEUSDT,AGIXUSDT,0.0,-4.79,-3.37,1.42,3
679,STEEMUSDT,BADGERUSDT,0.0,-5.42,-3.37,0.11,3
382,EGLDUSDT,TRUUSDT,0.01,-3.83,-3.37,2542.4,3
484,GMTUSDT,LOOKSUSDT,0.01,-3.97,-3.37,0.17,3
303,CTKUSDT,MEMEUSDT,0.02,-3.71,-3.37,79.78,3
408,FETUSDT,TOKENUSDT,0.0,-4.74,-3.37,13.04,3
437,GALAUSDT,ARKUSDT,0.01,-3.88,-3.37,0.33,3
593,MOVRUSDT,AUDIOUSDT,0.02,-3.7,-3.37,2.78,3
595,MOVRUSDT,BCHUSDT,0.0,-5.27,-3.37,0.02,3
426,FXSUSDT,HFTUSDT,0.04,-3.4,-3.37,44.76,3
642,PYTHUSDT,JOEUSDT,0.0,-5.19,-3.37,0.73,3
414,FILUSDT,WOOUSDT,0.04,-3.41,-3.37,368.76,3
413,FILUSDT,OMGUSDT,0.03,-3.55,-3.37,3.95,3
398,ETHWUSDT,BALUSDT,0.03,-3.55,-3.37,0.43,3
495,GRTUSDT,FTMUSDT,0.01,-3.84,-3.37,0.55,3
396,ETCUSDT,OGNUSDT,0.04,-3.42,-3.37,419.67,3
360,EGLDUSDT,BADGERUSDT,0.0,-4.63,-3.37,128.19,3
363,EGLDUSDT,CROUSDT,0.0,-4.12,-3.37,346.12,3
364,EGLDUSDT,ENJUSDT,0.01,-3.99,-3.37,112.05,3
615,OCEANUSDT,BLURUSDT,0.01,-3.91,-3.37,0.42,3
385,ENSUSDT,CELRUSDT,0.04,-3.44,-3.37,384.75,3
625,OPUSDT,AGIUSDT,0.0,-4.21,-3.37,44.64,3
585,MKRUSDT,ANTUSDT,0.03,-3.47,-3.37,244.98,3
649,QIUSDT,DODOUSDT,0.01,-3.78,-3.37,0.06,3
466,GFTUSDT,HOTUSDT,0.01,-3.82,-3.37,17.17,3
326,DATAUSDT,MATICUSDT,0.0,-4.22,-3.37,0.05,3
567,LDOUSDT,RAREUSDT,0.01,-4.09,-3.37,12.52,3
305,CTKUSDT,MULTIUSDT,0.02,-3.63,-3.37,0.63,3
306,CTKUSDT,NMRUSDT,0.01,-3.86,-3.37,0.12,3
